import time: self [us] | cumulative | imported package
import time:       631 |        631 |       stripe._transfer
import time:       295 |        295 |         stripe._reversal
import time:       450 |        744 |       stripe._transfer_reversal_service
import time:       386 |       1760 |     stripe._transfer_service
import time:       269 |        269 |     stripe._treasury_service
import time:       824 |        824 |       stripe._webhook_endpoint
import time:       431 |       1254 |     stripe._webhook_endpoint_service
import time:       254 |        254 |     stripe._v2_services
import time:       743 |     302696 |   stripe._stripe_client
import time:       265 |        265 |   stripe._custom_method
import time:       571 |        571 |     stripe.events._v1_billing_meter_error_report_triggered_event
import time:       311 |        311 |     stripe.events._v1_billing_meter_no_meter_found_event
import time:       262 |        262 |     stripe.events._v2_core_event_destination_ping_event
import time:       358 |       1501 |   stripe.events
import time:       256 |        256 |   stripe._application
import time:       245 |        245 |   stripe._connect_collection_transfer
import time:       249 |        249 |   stripe._reserve_transaction
import time:       296 |        296 |   stripe._source_mandate_notification
import time:       252 |        252 |   stripe._tax_deducted_at_source
import time:       790 |     365796 | stripe
import time:       513 |        513 |   httpx.__version__
import time:       128 |        128 |               zlib
import time:       303 |        303 |                 _compression
import time:        21 |         21 |                 _bz2
import time:       303 |        626 |               bz2
import time:        40 |         40 |                 _lzma
import time:       302 |        341 |               lzma
import time:       531 |       1625 |             shutil
import time:       405 |       2030 |           tempfile
import time:       280 |        280 |             urllib.response
import time:       307 |        587 |           urllib.error
import time:        17 |         17 |           _scproxy
import time:       976 |       3608 |         urllib.request
import time:       453 |        453 |         httpx._exceptions
import time:      1443 |       1443 |           http.cookiejar
import time:        33 |         33 |                 _winapi
import time:        25 |         25 |                 winreg
import time:       345 |        402 |               mimetypes
import time:      1155 |       1155 |               httpx._types
import time:       307 |        307 |               httpx._utils
import time:       445 |       2307 |             httpx._multipart
import time:       322 |       2628 |           httpx._content
import time:        33 |         33 |             brotli
import time:        26 |         26 |             brotlicffi
import time:        24 |         24 |             zstandard
import time:       354 |        436 |           httpx._decoders
import time:       604 |        604 |           httpx._status_codes
import time:        26 |         26 |                 unicodedata
import time:       467 |        467 |                 idna.idnadata
import time:       572 |        572 |                 idna.intranges
import time:       798 |       1862 |               idna.core
import time:      1959 |       1959 |               idna.package_data
import time:       264 |       4084 |             idna
